code;designation;caracteristique;categorie;unite;prix
YBR001;YBR125-CAPOT BATTERIE NOIR /YBR125??-?;20?/?;YBR??;?;3500
YBR005;YX-YBR125-DEMARREUR/ YBR125??-???;12?/?;YBR??;?;5500
YBR007;YBR125-TENTEUR CYLINDRE/ YBR125???;100?/?;YBR??;?;800
YBR011;YBR125-PROTEGE A MAIN EN PLASTIQUE NOIR/YBR125???-?;100?/?;YBR??;?;1000
YBR013;YBR125-COMPTEUR/ YBR125??-??;20?/?;YBR??;?;5000
YBR017;YRB125-SEGEMENT 0.25 /YBR125??0.25;500?/?;YBR??;?;550
YBR024;YBR125-PROTEGE A MAIN EN PLASTIQUE BLEU/YBR125???-?;100?/?;YBR??;?;1000
YBR025;YBR125-PROTEGE A MAIN EN PLASTIQUE ROUGE/YBR125???-?;100?/?;YBR??;?;1000
YBR030;YBR125-CARBULATEUR /YBR125???;30?/?;YBR??;?;9308
YBR033;YX-YBR125 SERE BLOCK /YX-YBR125???;100?/?;YBR??;?;400
YBR034;YX-YBR125-MAYO ARR CPT/ YBR125?????;8?/?;YBR??;?;6000
YBR036;YBR125-GRADE BOUT AV BLEU(ANCIEN)/YBR125???(??)-??;20?/?;YBR??;?;3000
YBR037;YBR125-GARDE BOUE AV ROUGE NOV YBR125???(??)-??;20?/?;YBR??;?;3000
YBR040;YBR125-CHAINE 130L YBR125???-428-130L;25?/?;YBR??;?;1600
YBR044;YBR125-GARDBOUT AV (ANCIEN)ROUGE /YBR125???(??)??;20?/?;YBR??;?;3000
YBR045;YBR125-GARDE BOUE AV NOVO BLEU /YBR125???(??)??;20?/?;YBR??;?;3000
YBR046;YBR125-GARDE BOUE AR /YBR125???;20?/?;YBR??;?;4000
YBR047;YBR125-GRADE BOUT AV NOIR(ANCIEN)/YBR125???(??)??;20?/?;YBR??;?;3000
YBR058;YX-YBR125-DISQUE/ YBR125????;100?/?;YBR??;?;800
YBR059;YX-YBR125-LINTO SIMPLE/ YBR125???;50?/?;YBR??;?;2000
YBR086;YX-YBR125-TRANSMISSION/YX-YBR125??+??-428-122L/45T/14T;12?/?;YBR??;?;3750
YBR095;EV-YBR125-BIELLE/EV-YBR125??;50?/?;??;?;1958
YBR096;SV-YBR125-TRANSMISSON+ECROU  / SV-YBR125??+??-428-122L/45T/14T;12?/?;??;?;4500
YBR098;YX-YBR125-ARBRE A CAME  /YBR125??;100?/?;??;?;1800
YBR099;YX-YBR125-AXE DE VITESSE/YBR125???;100?/?;???????;?;1500
YBR100;YBR125-FILTRE AIR SIMPLE/YBR125?????;50?/?;???????;?;1000
YBR103;YX-YBR125-CABLE EMBRAYAGE /YBR125???;100?/?;??  ???;?;600
YBR104;YX-YBR125 CABLE-COMPTEUR / YX-YBR125???;100??;???;?;500
YBR105;YX-YBR125-CABLE ACCELATEUR /YBR125???;100?/?;??  ???;?;600
YBR107;YX-YBR125-AMORTISSEUR/  YX-YBR125???;10?/?;??;?;6500
YBR108;YX-YBR125-CLE-CPT /YBR125??;50?/?;??;?;3500
YBR110;YX-YBR125-LEVIER DE VITESS/YBR125???;100?/?;???????;?;750
YBR111;YX-YBR125 INSTALLATION /YX-YBR125???;50?/?;???;?;3500
YBR112;YX-YBR125-CDI /YX-YBR125???;100?/?;???;?;3000
YBR113;YX-YBR125 CHARGEUR/ YX-YBR125???;100?/?;???;?;1500
YBR116;YX-YBR125-CLIGNOTANT/ YBR125???;100?/?;??;?;450
YBR117;YX-YBR125-MANETTE+SUPORT/YBR125????+??;100?/?;????;?;650
YBR119;YX-YBR125-POIGNET-CPLT/YBR125??????;50?/?;????;?;2000
YBR120;SV-YBR125 DEMARREUR SANS FIL /SV-YBR125??-??;12?/?;??;?;8000
YBR122;"SV-YBR125ARBRE A CAME 	 SV-YBR125??";100?/?;??;?;2500
YBR123;SV-YBR125-RETROVISEUR/SV-YBR125???;50?/?;???;?;1250
YBR124;SV-YBR125 PHARE/ SV-YBR125??;20?/?;??;?;4500
YBR125;SV-YBR125 MANETTE+SUPORT SV-YBR125????+??;100?/?;??;?;1500
YBR126;SV-YBR125 MANETTE FREIN+SUPORT SV-YBR125????+??;100?/?;??;?;1500
YBR128;SV-YBR125-AXE DE LEVIER VITEESSE/SV-YBR125???;50?/?;???????;?;1500
YBR129;SV-YBR125 CDI SV-YBR125???????;100?/?;???;?;4500
YBR130;SV-YBR125-COMPTEUR/SV-YBR125??;20?/?;??;?;8500
YBR132;SV-YBR125-BOBINE/SV-YBR125??;40?/?;??;?;5500
YBR134;SV-YBR125 AMORTISSEUR-AR /SV-YBR125????;10?/?;??;?;9000
YBR135;SV-YBR125 CABLE-EMBRAYAGE SV-YBR125???;100?/?;??  ???;?;1500
YBR136;SV-YBR125 CABLE ACCELATEUR SV-YBR125???;100?/?;??  ???;?;1000
YBR137;SV-YBR125PT-CHAINE-90L/SV-YBR125???-??2*3*90L;200?/?;??;?;1500
YBR138;SV-YBR125-SOUPAPE /SV-YBR125??;200?/?;??;?;1500
YBR139;SV-YBR125-DISQUE / SV-YBR125????;100?/?;????;?;1800
YBR140;SV-YBR125-FERADO/SV-YBR125????;80?/?;????;?;1500
YBR141;SV-YBR125 CONTACTEUR SV-YBR125???;100?/?;???;?;1500
YBR142;SV-YBR125 CLE-CPT SV-YBR125??;50?/?;??;?;5000
YBR143;SV-YBR125 PISTON-STD+/SV-YBR125??STD+/54*1.0*2.0-??;100?/?;??;?;2500
YBR144;SV-YBR125-PISTON-STD++/SV-YBR125??STD++/54*1.0*2.0-??;100?/?;??;?;2500
YBR145;YX-YBR125-CLIGNOTANT(ANCIEN)/YX-YBR125???-??;180?/?;??;?;386
YBR146;YX-YBR125-CLIGNOTANT(NOVO)/YX-YBR125???-??;240?/?;??;?;500
YBR147;YBR125-CAPOT BATTERIE-(BLEU)/YBR125??-?;10?/?;???;?;4500
YBR148;YBR125-CAPOT BATTERIE-(ROUGE)/YBR125??-?;10?/?;???;?;4500
YBR149;"YX-YBR125 DISQUE-5?	 YX-YBR125????-5?";100?/?;????;?;750
YF00001;YX-CG125-JOINT SOUPAPE /CG125????;5000?/?;??;?;60
YF00003;YX-CD110-JOINT SOUPAPE /YX-CD110????-LJ110;5000?/?;??;?;50
YF00022;YX-CD110-JOINT ANTI FIRTE /CD110????;500?/?;??;?;250
YF00023;EV-CG125-JOINT ARRET HUIL CG125????;500?/?;??;?;211
YF00024;YX-CG125-JOINT ANTI FIRTE /CG125????;500?/?;??;?;275
YF00030;YX-GN125-JOINT FOURCHE /GN125?????32*44*10.5;1000?/?;??;?;150
YF00032;YX-ALOBA-JOINT FOURCHE ALOBA?????30*44*10.5;1000?/?;??;?;150
YF00034;YX-X-1-JOINT FOURCHE /YX-X-1?????26*37*10.5;1000?/?;??;?;150
YF00038;YX-AXE JOINT  YX-???????;500?/?;??????????;?;200
YX00001;ALOBA-RESERVOIR+CAPOT-NOIRE/ALOBA??+??-?-????;1?/?;??;?;16000
YX00002;ALOBA-RESERVOIR+CAPOT-ROUGE/ALOBA??+??-?-????;1?/?;??;?;16000
YX00007;SY125-8-RESERVOIR-CAPOT-NOIRE/SY125-8??+??-?;1?/?;??;?;12500
